,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/8/2018,5:43:20 PM,21.463,8.742,21.309,20.63,15.507,13.349,28.94,29.443,29.538,29.254
6/8/2018,6:00:00 PM,21.462,8.692,21.277,20.619,15.493,13.345,28.937,29.39,29.516,29.181
6/8/2018,6:16:40 PM,21.458,8.661,21.284,20.626,15.469,13.285,28.933,29.58,29.678,29.299
6/8/2018,6:33:20 PM,21.459,8.587,21.269,20.606,15.432,13.236,28.93,30.192,30.285,30.136
6/8/2018,6:50:00 PM,21.455,8.548,21.264,20.598,15.44,13.214,28.922,29.752,29.829,29.559
6/8/2018,7:06:40 PM,21.446,8.508,21.248,20.586,15.4,13.163,28.917,29.832,29.96,29.691
6/8/2018,7:23:20 PM,21.42,8.437,21.225,20.607,15.336,13.111,28.93,30.211,30.297,30.106
6/8/2018,7:40:00 PM,21.424,8.375,21.223,20.544,15.286,13.084,28.929,30.234,30.339,30.134
6/8/2018,7:56:40 PM,21.413,8.332,21.215,20.529,15.285,13.044,28.924,30.285,30.396,30.162
6/8/2018,8:13:20 PM,21.386,8.275,21.194,20.497,15.237,13.01,28.919,30.463,30.552,30.329
6/8/2018,8:30:00 PM,21.358,8.198,21.187,20.524,15.206,12.95,28.916,30.474,30.543,30.237
6/8/2018,8:46:40 PM,21.354,8.155,21.17,20.47,15.173,12.886,28.915,30.384,30.5,30.283
6/8/2018,9:03:20 PM,21.353,8.106,21.134,20.468,15.128,12.831,28.916,30.561,30.634,30.492
6/8/2018,9:20:00 PM,21.331,8.032,21.109,20.432,15.081,12.812,28.918,30.579,30.643,30.497
6/8/2018,9:36:40 PM,21.292,7.967,21.113,20.407,15.044,12.727,28.928,30.613,30.712,30.561
6/8/2018,9:53:20 PM,21.278,7.918,21.064,20.361,15.017,12.672,28.933,30.398,30.481,30.262
6/8/2018,10:10:00 PM,21.247,7.861,21.06,20.348,14.968,12.624,28.928,30.339,30.439,30.27
6/8/2018,10:26:40 PM,21.236,7.805,21.038,20.334,14.933,12.573,28.929,30.47,30.568,30.413
6/8/2018,10:43:20 PM,21.233,7.726,21.005,20.317,14.872,12.508,28.93,30.21,30.337,30.07
6/8/2018,11:00:00 PM,21.164,7.687,20.988,20.275,14.827,12.471,28.93,30.247,30.393,30.195
6/8/2018,11:16:40 PM,21.148,7.597,20.948,20.252,14.808,12.4,28.919,30.168,30.275,30.061
6/8/2018,11:33:20 PM,21.113,7.542,20.938,20.231,14.74,12.359,28.92,30.001,30.09,29.887
6/8/2018,11:50:00 PM,21.099,7.469,20.904,20.169,14.692,12.297,28.937,30.117,30.165,29.989
6/9/2018,12:06:40 AM,21.085,7.41,20.863,20.122,14.656,12.228,28.941,29.976,30.039,29.828
6/9/2018,12:23:20 AM,21.023,7.365,20.82,20.11,14.608,12.158,28.943,29.866,29.924,29.747
6/9/2018,12:40:00 AM,21.009,7.284,20.797,20.053,14.546,12.109,28.931,29.896,29.938,29.713
6/9/2018,12:56:40 AM,20.976,7.229,20.783,20.053,14.486,12.046,28.93,29.579,29.604,29.385
6/9/2018,1:13:20 AM,20.957,7.183,20.75,20.001,14.459,11.976,28.93,29.642,29.693,29.501
6/9/2018,1:30:00 AM,20.921,7.095,20.69,19.989,14.408,11.926,28.929,29.558,29.575,29.343
6/9/2018,1:46:40 AM,20.915,7.045,20.668,19.941,14.354,11.88,28.915,29.338,29.414,29.225
6/9/2018,2:03:20 AM,20.848,6.978,20.61,19.914,14.304,11.81,28.924,29.208,29.254,29.087
6/9/2018,2:20:00 AM,20.828,6.906,20.635,19.848,14.263,11.742,28.925,29.141,29.134,28.925
6/9/2018,2:36:40 AM,20.795,6.849,20.586,19.839,14.212,11.687,28.932,29.073,29.137,28.898
6/9/2018,2:53:20 AM,20.759,6.793,20.541,19.775,14.165,11.645,28.939,28.979,29.063,28.857
6/9/2018,3:10:00 AM,20.745,6.717,20.518,19.745,14.096,11.582,28.944,28.976,29.086,28.773
6/9/2018,3:26:40 AM,20.747,6.671,20.479,19.711,14.11,11.514,28.941,28.797,28.853,28.404
6/9/2018,3:43:20 AM,20.752,6.655,20.523,19.709,14.079,11.475,28.937,29.055,29.145,28.621
6/9/2018,4:00:00 AM,20.728,6.608,20.513,19.724,14.034,11.454,28.952,29.275,29.348,28.938
6/9/2018,4:16:40 AM,20.728,6.537,20.496,19.712,13.996,11.382,28.944,29.232,29.311,28.911
6/9/2018,4:33:20 AM,20.731,6.506,20.483,19.695,13.96,11.369,28.939,29.317,29.387,28.966
6/9/2018,4:50:00 AM,20.698,6.45,20.476,19.697,13.915,11.351,28.937,29.325,29.411,29.097
6/9/2018,5:06:40 AM,20.719,6.391,20.454,19.69,13.902,11.311,28.935,29.372,29.432,29.124
6/9/2018,5:23:20 AM,20.665,6.349,20.471,19.657,13.898,11.233,28.926,29.416,29.483,29.073
6/9/2018,5:40:00 AM,20.682,6.306,20.454,19.678,13.848,11.228,28.933,29.472,29.533,29.187
6/9/2018,5:56:40 AM,20.654,6.248,20.441,19.608,13.795,11.189,28.93,29.488,29.544,29.232
6/9/2018,6:13:20 AM,20.651,6.205,20.41,19.59,13.787,11.137,28.922,29.492,29.517,29.191
6/9/2018,6:30:00 AM,20.628,6.147,20.413,19.575,13.741,11.092,28.92,29.497,29.558,29.215
6/9/2018,6:46:40 AM,20.599,6.106,20.399,19.541,13.7,11.053,28.92,29.544,29.59,29.271
6/9/2018,7:03:20 AM,20.585,6.05,20.309,19.538,13.638,11.019,28.92,29.552,29.609,29.275
6/9/2018,7:20:00 AM,20.55,5.999,20.352,19.506,13.61,10.951,28.922,29.377,29.448,29.186
6/9/2018,7:36:40 AM,20.527,5.947,20.312,19.467,13.579,10.895,28.915,29.307,29.38,28.985
6/9/2018,7:53:20 AM,20.511,5.896,20.304,19.484,13.517,10.846,28.913,29.39,29.459,29.093
6/9/2018,8:10:00 AM,20.475,5.82,20.277,19.441,13.5,10.797,28.909,29.32,29.396,29.044
6/9/2018,8:26:40 AM,20.475,5.785,20.256,19.427,13.456,10.768,28.909,29.308,29.374,29.025
6/9/2018,8:43:20 AM,20.445,5.732,20.224,19.39,13.432,10.712,28.911,29.383,29.457,29.075
